#############################################################
## Master Feed of known, active and non-sinkholed C&Cs indicators
## 
## HIGH CONFIDENCE FAMILIES ONLY
## 
## Feed generated at: 2023-03-03 14:21 
##
## Feed Provided By: John Bambenek of Bambenek Consulting
## jcb@bambenekconsulting.com // http://bambenekconsulting.com
## Use of this feed is governed by the license here: 
## http://osint.bambenekconsulting.com/license.txt 
##
## For more information on this feed go to: 
## http://osint.bambenekconsulting.com/manual/c2-allmasterlist.txt
## 
## All times are in UTC
## 
## Fields are: 
## Domain,IPs,CIDR,IPv6,ASN,Auth NS servers,Auth NS IPs, Description, Manual
## Multiple entries in a field (i.e. multiple IPs) are | delimited 
#############################################################
acsnwmsedneaqabcga.com,63.251.106.25,63.251.104.0/22,,32475,ns1.acsnwmsedneaqabcga.com|ns2.acsnwmsedneaqabcga.com|ns3.acsnwmsedneaqabcga.com|ns4.acsnwmsedneaqabcga.com|ns5.acsnwmsedneaqabcga.com|ns6.acsnwmsedneaqabcga.com|ns7.acsnwmsedneaqabcga.com|ns8.acsnwmsedneaqabcga.com,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
aecczzyqfnlcsv.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
bdfwrfsexcmch.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
boqijuawcjoiarv.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
cdqvfoezutpworgjg.com,63.251.106.25,63.251.104.0/22,,32475,ns1.cdqvfoezutpworgjg.com|ns2.cdqvfoezutpworgjg.com|ns3.cdqvfoezutpworgjg.com|ns4.cdqvfoezutpworgjg.com|ns5.cdqvfoezutpworgjg.com|ns6.cdqvfoezutpworgjg.com|ns7.cdqvfoezutpworgjg.com|ns8.cdqvfoezutpworgjg.com,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
cpejcogzznpudbsmaxxm.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
csmanuivsrlx.com,34.98.99.30,34.96.0.0/14,,396982,ns57.domaincontrol.com|ns58.domaincontrol.com,97.74.108.29|173.201.76.29,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
furiararji.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
glurejnjtdbj.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
iarmfvxogplgzx.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
kcubcfuhwwn.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
kwsrmhroj.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
linbzxpkmdtngnbdg.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
mzwfwjayhom.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
ntrshvquunyzxevkucs.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
okenhqzgxngnkbwouvfm.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
onnxtepjtmtukenpm.com,107.6.74.76,107.6.72.0/21,,32475,ns1.onnxtepjtmtukenpm.com|ns2.onnxtepjtmtukenpm.com|ns3.onnxtepjtmtukenpm.com|ns4.onnxtepjtmtukenpm.com|ns5.onnxtepjtmtukenpm.com|ns6.onnxtepjtmtukenpm.com|ns7.onnxtepjtmtukenpm.com|ns8.onnxtepjtmtukenpm.com,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
plxeyaja.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
qwtzjokvjfvecysgypbd.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
qxcrbliabignczlmuc.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
rauggyguyp.com,50.3.243.189,50.3.240.0/22,,62904,ns1.dnsowl.com|ns2.dnsowl.com|ns3.dnsowl.com,162.159.26.136|162.159.26.234|162.159.26.49|162.159.27.130|162.159.27.173|162.159.27.98,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
sjytgtnkdl.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
ttaebamktjdbizrnqxp.com,64.225.91.73,64.225.88.0/22,,14061,ns03.domaincntrol.com|ns04.domaincntrol.com,143.244.210.78|164.90.244.237,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
vjuxtixi.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
wowsfhnnvlwhlotryvh.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
wxluitpliymeoirc.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
xtvklujmo.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
xzfqmrfmyuaxs.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
zkkfpkbbfnmihohix.com,80.92.67.155,80.92.64.0/19,,24611,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for dircrypt non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dircrypt.txt
1xcxygjz1.ru,107.6.74.76,107.6.72.0/21,,32475,ns1.1xcxygjz1.ru|ns2.1xcxygjz1.ru|ns3.1xcxygjz1.ru|ns4.1xcxygjz1.ru|ns5.1xcxygjz1.ru|ns6.1xcxygjz1.ru|ns7.1xcxygjz1.ru|ns8.1xcxygjz1.ru,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for dromedan non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dromedan.txt
wf0lr73ak.ru,199.21.76.77,199.21.76.0/23,,32475,ns1.wf0lr73ak.ru|ns2.wf0lr73ak.ru|ns3.wf0lr73ak.ru|ns4.wf0lr73ak.ru|ns5.wf0lr73ak.ru|ns6.wf0lr73ak.ru|ns7.wf0lr73ak.ru|ns8.wf0lr73ak.ru,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for dromedan non-sinkholed domains,http://osint.bambenekconsulting.com/manual/dromedan.txt
0eedff63ca.info,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
0ff761c91f.info,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
187ddbf44e.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
4b7e9e2996.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
4f682f4e6b.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
4fdeb70f13.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
6e908e4b9f.net,80.92.67.155,80.92.64.0/19,,24611,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
75578557b5.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
86bb16fed9.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
96a8823139.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
c9d5645845.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
d73e4df212.com,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
dadc225736.info,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
f0e4e66e79.org,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for enviserv non-sinkholed domains,http://osint.bambenekconsulting.com/manual/enviserv.txt
aersmoctlg.com,63.141.242.44,63.141.224.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
dnbfgwiirpznywcmb.net,80.92.67.155,80.92.64.0/19,,24611,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
mrkrrmsogajlphleb.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
prdorofeqssdpqlob.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
resghmnalt.com,192.187.111.222,192.187.96.0/19,,33387,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
sziaatpcelbbsjzyg.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
yjbpmtmkirzdyddch.net,169.50.13.61,169.50.0.0/18,,36351,ns1.eurodns.com|ns2.eurodns.com|ns3.eurodns.com|ns4.eurodns.com,8.20.241.107|8.20.241.108|8.20.243.107|8.20.243.108,Master Indicator Feed for fobber non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fobber.txt
app2.winsoft3.com,199.59.243.222,199.59.243.0/24,,16509,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys0.com,212.32.237.92,212.32.224.0/19,,60781,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys1.com,81.17.29.148,81.17.16.0/20,,51852,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys26.com,199.59.243.222,199.59.243.0/24,,16509,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys30.com,23.82.12.30,23.82.8.0/21,,30633,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys32.com,212.32.237.92,212.32.224.0/19,,60781,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys69.com,199.59.243.222,199.59.243.0/24,,16509,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
appx.koreasys88.com,23.82.12.29,23.82.8.0/21,,30633,,,Master Indicator Feed for fosniw non-sinkholed domains,http://osint.bambenekconsulting.com/manual/fosniw.txt
orwvifxds.com,63.251.126.11,63.251.126.0/23,,14636,ns1.orwvifxds.com|ns2.orwvifxds.com|ns3.orwvifxds.com|ns4.orwvifxds.com|ns5.orwvifxds.com|ns6.orwvifxds.com|ns7.orwvifxds.com|ns8.orwvifxds.com,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for hesperbot non-sinkholed domains,http://osint.bambenekconsulting.com/manual/hesperbot.txt
rmanrebdjeupmbbmjkkashjw.com,63.251.106.25,63.251.104.0/22,,32475,ns1.rmanrebdjeupmbbmjkkashjw.com|ns2.rmanrebdjeupmbbmjkkashjw.com|ns3.rmanrebdjeupmbbmjkkashjw.com|ns4.rmanrebdjeupmbbmjkkashjw.com|ns5.rmanrebdjeupmbbmjkkashjw.com|ns6.rmanrebdjeupmbbmjkkashjw.com|ns7.rmanrebdjeupmbbmjkkashjw.com|ns8.rmanrebdjeupmbbmjkkashjw.com,3.88.85.25|52.91.240.174|54.167.117.17|54.167.51.129|54.172.115.83|54.221.24.77|54.235.233.235|107.22.84.114,Master Indicator Feed for hesperbot non-sinkholed domains,http://osint.bambenekconsulting.com/manual/hesperbot.txt
adhbtib.yi.org,207.10.232.16,207.10.0.0/16,,7029,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
afmbtgyktty.yi.org,66.29.58.119,66.29.0.0/17,,8001,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
bdubefoeug.yi.org,64.21.149.167,64.21.128.0/18,,8001,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
bpdyttrlp.yi.org,64.21.149.167,64.21.128.0/18,,8001,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
cdggua.yi.org,67.59.157.51,67.59.128.0/18,,20021,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
denalits.com,81.17.18.196,81.17.16.0/20,,51852,ns1.namedynamics.net|ns2.namedynamics.net,63.141.242.42|179.43.134.6|179.43.173.30|192.187.111.218,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
djpoppy.com,104.166.91.178,104.166.64.0/19,,46261,a.share-dns.com|b.share-dns.net|ns1.gname.net|ns2.gname.net,162.159.26.46|162.159.27.239|162.159.27.251|162.159.27.88|162.159.48.161|162.159.48.223,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
egbmbdey.com,104.166.94.21,104.166.64.0/19,,46261,a.share-dns.com|b.share-dns.net|ns1.gname.net|ns2.gname.net,162.159.26.46|162.159.27.239|162.159.27.251|162.159.27.88|162.159.48.161|162.159.48.223,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
gviailawmc.yi.org,209.160.65.66,209.160.64.0/20,,14361,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
hzmwxlmu.yi.org,143.215.15.199,143.215.0.0/16,,2637,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
ihouxyds.yi.org,207.10.232.21,207.10.0.0/16,,7029,,,Master Indicator Feed for kraken non-sinkholed domains,http://osint.bambenekconsulting.com/manual/kraken.txt
